"County","Year","Sex","Population"
"Baranya","2011","Female",29769
"Baranya","2012","Female",27780.5
"Baranya","2013","Female",26944.5
"Baranya","2014","Female",25843.5
"Baranya","2015","Female",24468.5
"Baranya","2016","Female",23190.5
"Baranya","2017","Female",22152
"Baranya","2018","Female",21271
"Baranya","2019","Female",20549
"Baranya","2011","Female",25688.5
"Baranya","2012","Female",25921
"Baranya","2013","Female",26003.5
"Baranya","2014","Female",26129
"Baranya","2015","Female",26588
"Baranya","2016","Female",27098.5
"Baranya","2017","Female",27396.5
"Baranya","2018","Female",27490
"Baranya","2019","Female",27438
"Baranya","2011","Female",25688.5
"Baranya","2012","Female",25921
"Baranya","2013","Female",26003.5
"Baranya","2014","Female",26129
"Baranya","2015","Female",26588
"Baranya","2016","Female",27098.5
"Baranya","2017","Female",27396.5
"Baranya","2018","Female",27490
"Baranya","2019","Female",27438
"Baranya","2011","Male",25092.5
"Baranya","2012","Male",25068.5
"Baranya","2013","Male",25313.5
"Baranya","2014","Male",25712.5
"Baranya","2015","Male",26290.5
"Baranya","2016","Male",26847.5
"Baranya","2017","Male",27164.5
"Baranya","2018","Male",27261.5
"Baranya","2019","Male",27234
"Baranya","2011","Female",25688.5
"Baranya","2012","Female",25921
"Baranya","2013","Female",26003.5
"Baranya","2014","Female",26129
"Baranya","2015","Female",26588
"Baranya","2016","Female",27098.5
"Baranya","2017","Female",27396.5
"Baranya","2018","Female",27490
"Baranya","2019","Female",27438
"Baranya","2011","Female",30669.5
"Baranya","2012","Female",30483.5
"Baranya","2013","Female",29691
"Baranya","2014","Female",28646
"Baranya","2015","Female",27407
"Baranya","2016","Female",26273.5
"Baranya","2017","Female",25530
"Baranya","2018","Female",25127
"Baranya","2019","Female",24877
"Baranya","2011","Female",30669.5
"Baranya","2012","Female",30483.5
"Baranya","2013","Female",29691
"Baranya","2014","Female",28646
"Baranya","2015","Female",27407
"Baranya","2016","Female",26273.5
"Baranya","2017","Female",25530
"Baranya","2018","Female",25127
"Baranya","2019","Female",24877
"Baranya","2011","Female",30669.5
"Baranya","2012","Female",30483.5
"Baranya","2013","Female",29691
"Baranya","2014","Female",28646
"Baranya","2015","Female",27407
"Baranya","2016","Female",26273.5
"Baranya","2017","Female",25530
"Baranya","2018","Female",25127
"Baranya","2019","Female",24877
"Baranya","2011","Male",27556.5
"Baranya","2012","Male",27890.5
"Baranya","2013","Male",27185.5
"Baranya","2014","Male",26237
"Baranya","2015","Male",25139
"Baranya","2016","Male",24203.5
"Baranya","2017","Male",23633.5
"Baranya","2018","Male",23308
"Baranya","2019","Male",23157
"Baranya","2011","Female",30669.5
"Baranya","2012","Female",30483.5
"Baranya","2013","Female",29691
"Baranya","2014","Female",28646
"Baranya","2015","Female",27407
"Baranya","2016","Female",26273.5
"Baranya","2017","Female",25530
"Baranya","2018","Female",25127
"Baranya","2019","Female",24877
"Baranya","2011","Male",27556.5
"Baranya","2012","Male",27890.5
"Baranya","2013","Male",27185.5
"Baranya","2014","Male",26237
"Baranya","2015","Male",25139
"Baranya","2016","Male",24203.5
"Baranya","2017","Male",23633.5
"Baranya","2018","Male",23308
"Baranya","2019","Male",23157
"Baranya","2011","Female",30669.5
"Baranya","2012","Female",30483.5
"Baranya","2013","Female",29691
"Baranya","2014","Female",28646
"Baranya","2015","Female",27407
"Baranya","2016","Female",26273.5
"Baranya","2017","Female",25530
"Baranya","2018","Female",25127
"Baranya","2019","Female",24877
"Baranya","2011","Female",30669.5
"Baranya","2012","Female",30483.5
"Baranya","2013","Female",29691
"Baranya","2014","Female",28646
"Baranya","2015","Female",27407
"Baranya","2016","Female",26273.5
"Baranya","2017","Female",25530
"Baranya","2018","Female",25127
"Baranya","2019","Female",24877
"Baranya","2011","Female",30669.5
"Baranya","2012","Female",30483.5
"Baranya","2013","Female",29691
"Baranya","2014","Female",28646
"Baranya","2015","Female",27407
"Baranya","2016","Female",26273.5
"Baranya","2017","Female",25530
"Baranya","2018","Female",25127
"Baranya","2019","Female",24877
"Baranya","2011","Female",24926.5
"Baranya","2012","Female",25412
"Baranya","2013","Female",25783.5
"Baranya","2014","Female",26533
"Baranya","2015","Female",27506.5
"Baranya","2016","Female",28556.5
"Baranya","2017","Female",29062.5
